24
34
01 small yellow circle  495.59 336.59 
18 small yellow circle  1111.59 327.59 
19 medium red square  137.07 698.07 
20 small purple semi-circle  1544.08 473.08 
21 small green triangle  1042.24 423.24 
22 medium green triangle  960.47 688.47 
23 small blue square  278.54 211.54 
24 medium yellow triangle  1318.47 467.47 
25 small purple square  820.54 599.54 
26 large purple semi-circle  391.26 1023.26 
27 small purple cross  589.32 417.32 
28 small purple triangle  250.24 869.24 
29 medium green semi-circle  1502.14 975.14 
30 medium blue cross  637.62 545.62 
31 large yellow circle  394.56 189.56 
32 small red square  847.54 441.54 
33 large green semi-circle  1336.26 871.26 
34 medium purple triangle  534.47 251.47 
35 large green cross  469.10 583.10 
36 large blue circle  709.56 795.56 
37 medium green circle  757.17 499.17 
38 large blue triangle  700.85 314.85 
39 large purple square  1446.38 612.38 
40 small blue circle  1352.59 338.59 
41 small green circle  270.59 30.59 
42 medium purple circle  72.17 1093.17 
43 medium red triangle  250.47 1134.47 
44 small yellow semi-circle  835.08 169.08 
45 large purple circle  1462.56 382.56 
46 small yellow cross  832.32 780.32 
47 large yellow triangle  358.85 766.85 
48 large purple cross  155.10 124.10 
49 large blue cross  109.10 857.10 
50 medium red semi-circle  935.14 73.14 
51 medium green cross  447.62 65.62 
52 large yellow cross  1264.10 679.10 
53 large blue semi-circle  787.26 968.26 
54 large yellow square  264.38 586.38 
55 large red cross  956.10 523.10 
56 small blue triangle  1525.24 1154.24 
57 small red cross  797.32 33.32 
58 medium red circle  1122.17 785.17 
59 large red triangle  1231.85 1064.85 
60 small yellow triangle  1551.24 278.24 
61 large green triangle  1145.85 118.85 
62 medium purple square  510.07 878.07 
63 medium yellow semi-circle  1247.14 338.14 
64 small blue semi-circle  837.08 1135.08 
65 medium blue circle  720.17 130.17 
66 medium blue square  1116.07 665.07 
67 medium yellow square  1142.07 921.07 
68 medium purple semi-circle  167.14 1018.14 
69 large blue square  1165.38 508.38 
70 medium red cross  1503.62 811.62 
71 small blue cross  635.32 186.32 
72 small green square  1291.54 181.54 
73 large green square  593.38 1096.38 
74 medium purple cross  52.62 327.62 
75 small green semi-circle  368.08 482.08 

28
32
01 small blue square  112.54 825.54 
02 small red semi-circle  1254.08 56.08 
03 small yellow circle  516.59 652.59 
04 small purple triangle  312.24 826.24 
05 small green square  1473.54 1001.54 
06 small green cross  1362.32 258.32 
07 medium blue triangle  535.47 783.47 
08 large red triangle  1227.85 1075.85 
09 medium red cross  507.62 406.62 
10 large yellow triangle  882.85 151.85 
11 large purple circle  75.56 697.56 
12 large purple semi-circle  692.26 622.26 
13 large yellow semi-circle  922.26 718.26 
14 medium green circle  1525.17 555.17 
15 large yellow circle  341.56 1109.56 
16 large red circle  378.56 683.56 
17 large blue circle  363.56 78.56 
18 small purple square  827.54 907.54 
19 small blue triangle  735.24 448.24 
20 large blue semi-circle  669.26 307.26 
21 large green square  1218.38 501.38 
22 medium yellow cross  173.62 51.62 
23 large blue triangle  961.85 1052.85 
24 medium purple semi-circle  1312.14 160.14 
25 large green circle  1054.56 848.56 
26 small green circle  1517.59 1165.59 
27 small blue cross  1313.32 409.32 
28 small blue circle  1393.59 1072.59 
29 small blue semi-circle  718.08 118.08 
30 medium red square  1186.07 885.07 
31 small yellow square  478.54 1142.54 
32 medium green cross  1226.62 721.62 
33 small yellow triangle  1017.24 79.24 
34 large red square  375.38 344.38 
35 medium purple cross  1386.62 583.62 
36 medium yellow semi-circle  505.14 236.14 
37 medium red semi-circle  575.14 103.14 
38 medium red circle  181.17 575.17 
39 medium green semi-circle  782.14 1020.14 
40 medium green square  1069.07 555.07 
41 large green triangle  527.85 1002.85 
42 medium blue cross  1076.62 670.62 
43 small yellow semi-circle  998.08 254.08 
44 large blue cross  1138.10 141.10 
45 small green semi-circle  195.08 281.08 
46 medium green triangle  1511.47 850.47 
47 large red cross  323.10 523.10 
48 small red cross  1545.32 966.32 
49 large yellow cross  1102.10 353.10 
50 medium blue circle  1550.17 1059.17 
51 medium yellow triangle  64.47 487.47 
52 small purple cross  600.32 471.32 
53 large blue square  678.38 866.38 
54 medium yellow circle  280.17 179.17 
55 medium purple triangle  1251.47 302.47 
56 small yellow cross  851.32 339.32 
57 medium purple square  405.07 874.07 
58 small red circle  231.59 403.59 
59 small green triangle  915.24 885.24 
60 large purple triangle  1475.85 351.85 
61 large yellow square  1360.38 893.38 
62 large red semi-circle  191.26 979.26 
63 small red triangle  822.24 1140.24 
64 medium blue square  57.07 1122.07 
65 large purple cross  1494.10 690.10 
66 small purple semi-circle  1387.08 1157.08 
67 large green semi-circle  1485.26 128.26 
68 large green cross  84.10 170.10 
69 large purple square  882.38 487.38 
70 small purple circle  1321.59 767.59 
71 medium yellow square  482.07 545.07 
72 medium blue semi-circle  216.14 766.14 
73 medium purple circle  126.17 354.17 
74 small red square  61.54 908.54 
75 medium red triangle  653.47 1123.47 

29
75
01 medium yellow cross  62.62 341.62 
02 large yellow circle  77.56 964.56 
03 small blue circle  711.59 39.59 
04 medium green circle  861.17 555.17 
05 large yellow square  542.38 390.38 
06 medium red semi-circle  1460.14 432.14 
07 small green square  1363.54 54.54 
08 large red circle  711.56 333.56 
09 large green cross  1000.10 449.10 
10 small green circle  1273.59 290.59 
11 small red semi-circle  44.08 738.08 
12 medium blue semi-circle  725.14 566.14 
13 medium blue square  119.07 189.07 
14 small yellow semi-circle  656.08 466.08 
15 small yellow square  203.54 1162.54 
16 medium red square  1201.07 85.07 
17 medium red circle  1211.17 201.17 
18 large blue square  735.38 872.38 
19 large red cross  1289.10 453.10 
20 medium yellow semi-circle  820.14 120.14 
21 small purple triangle  403.24 369.24 
22 large green semi-circle  1046.26 973.26 
23 small yellow triangle  1104.24 41.24 
24 large green triangle  205.85 552.85 
25 medium blue circle  1538.17 79.17 
26 small blue semi-circle  1058.08 1131.08 
27 medium purple semi-circle  300.14 92.14 
28 small blue cross  1400.32 522.32 
29 medium green triangle  398.47 488.47 
30 small green triangle  61.24 634.24 
31 small blue square  1128.54 152.54 
32 small red cross  1543.32 239.32 
33 medium green cross  1411.62 828.62 
34 large purple triangle  599.85 155.85 
35 large yellow triangle  315.85 1060.85 
36 small blue triangle  1194.24 359.24 
37 medium blue cross  646.62 1147.62 
38 small red circle  747.59 226.59 
39 small green semi-circle  1522.08 333.08 
40 medium purple triangle  1130.47 528.47 
41 large yellow cross  514.10 624.10 
42 medium yellow square  870.07 793.07 
43 large red triangle  818.85 1048.85 
44 medium blue triangle  95.47 1106.47 
45 small green cross  987.32 306.32 
46 large purple semi-circle  421.26 877.26 
47 large purple circle  1517.56 610.56 
48 small red triangle  963.24 1157.24 
49 medium yellow triangle  348.47 652.47 
50 small purple square  1312.54 1158.54 
51 small purple circle  64.59 468.59 
52 large green circle  1176.56 843.56 
53 medium red cross  1523.62 911.62 
54 small red square  855.54 460.54 
55 small yellow cross  1303.32 862.32 
56 large green square  257.38 321.38 
57 medium red triangle  585.47 813.47 
58 medium purple circle  1216.17 1151.17 
59 large blue triangle  196.85 797.85 
60 medium purple square  442.07 60.07 
61 large blue cross  992.10 660.10 
62 small purple semi-circle  1069.08 785.08 
63 medium yellow circle  1101.17 332.17 
64 small yellow circle  320.59 198.59 
65 large purple cross  538.10 1031.10 
66 large red square  1472.38 1114.38 
67 medium purple cross  171.62 79.62 
68 medium green semi-circle  851.14 290.14 
69 large blue semi-circle  1401.26 213.26 
70 large red semi-circle  1244.26 671.26 
71 large yellow semi-circle  1309.26 1009.26 
72 large blue circle  447.56 257.56 
73 large purple square  977.38 146.38 
74 medium green square  663.07 693.07 
75 small purple cross  1510.32 727.32 

30
6
01 medium purple square  549.07 56.07 
02 large purple triangle  715.85 571.85 
03 small blue triangle  334.24 691.24 
04 small blue square  1155.54 832.54 
05 large green square  1077.38 940.38 
06 medium yellow square  62.07 274.07 
07 small yellow semi-circle  1206.08 499.08 
08 small purple cross  375.32 440.32 
09 small green cross  248.32 698.32 
10 medium green circle  1156.17 1086.17 
11 small blue circle  60.59 993.59 
12 small green semi-circle  1313.08 288.08 
13 small red circle  1554.59 88.59 
14 large yellow square  515.38 511.38 
15 small red cross  1183.32 602.32 
16 large purple cross  1388.10 1085.10 
17 medium yellow triangle  888.47 587.47 
18 large red square  1070.38 518.38 
19 medium yellow cross  821.62 826.62 
20 large green semi-circle  274.26 555.26 
21 small red square  432.54 1125.54 
22 small purple circle  770.59 749.59 
23 large blue triangle  1111.85 203.85 
24 medium green square  331.07 1071.07 
25 small purple triangle  1330.24 631.24 
26 medium red circle  163.17 54.17 
27 large red cross  1469.10 739.10 
28 large purple square  902.38 243.38 
29 large yellow cross  1230.10 717.10 
30 small red triangle  420.24 605.24 
31 medium red cross  975.62 91.62 
32 small yellow circle  231.59 117.59 
33 small green circle  502.59 378.59 
34 small blue semi-circle  1472.08 106.08 
35 small yellow triangle  176.24 203.24 
36 medium purple cross  283.62 203.62 
37 small purple semi-circle  1010.08 1130.08 
38 medium blue square  767.07 1125.07 
39 large red semi-circle  729.26 345.26 
40 medium green semi-circle  1525.14 540.14 
41 large purple semi-circle  986.26 740.26 
42 small red semi-circle  556.08 640.08 
43 large purple circle  194.56 334.56 
44 large blue square  96.38 703.38 
45 large blue cross  668.10 976.10 
46 large green triangle  548.85 228.85 
47 small green triangle  1427.24 609.24 
48 small yellow square  1178.54 42.54 
49 large red circle  545.56 1102.56 
50 medium blue cross  1004.62 369.62 
51 medium blue circle  217.17 1086.17 
52 large green circle  1383.56 876.56 
53 medium purple circle  856.17 462.17 
54 large yellow semi-circle  247.26 867.26 
55 large blue semi-circle  886.26 1008.26 
56 medium red square  459.07 987.07 
57 small yellow cross  70.32 56.32 
58 small blue cross  100.32 848.32 
59 large yellow triangle  1310.85 130.85 
60 medium yellow semi-circle  73.14 1098.14 
61 small green square  1085.54 60.54 
62 large yellow circle  649.56 813.56 
63 small purple square  919.54 1160.54 
64 large green cross  1335.10 441.10 
65 large blue circle  779.56 107.56 
66 medium purple triangle  1536.47 993.47 
67 medium blue triangle  1246.47 926.47 
68 medium red semi-circle  369.14 315.14 
69 medium green cross  1466.62 229.62 
70 medium yellow circle  81.17 152.17 
71 medium red triangle  1508.47 387.47 
72 medium blue semi-circle  373.14 107.14 
73 medium green triangle  1168.47 374.47 
74 large red triangle  459.85 783.85 
75 medium purple semi-circle  78.14 443.14 

31
55
01 medium green cross  65.62 1145.62 
02 large red circle  729.56 577.56 
03 medium green semi-circle  100.14 353.14 
04 medium purple triangle  375.47 773.47 
05 large yellow triangle  911.85 158.85 
06 medium green triangle  591.47 506.47 
07 medium blue square  65.07 627.07 
08 large purple square  1008.38 964.38 
09 small green semi-circle  757.08 61.08 
10 large green cross  1416.10 676.10 
11 small blue cross  1189.32 179.32 
12 small red square  43.54 249.54 
13 large blue circle  229.56 439.56 
14 small yellow semi-circle  58.08 748.08 
15 medium yellow square  1537.07 583.07 
16 large purple triangle  273.85 1068.85 
17 large red square  993.38 489.38 
18 medium purple square  840.07 345.07 
19 medium green circle  631.17 1117.17 
20 small green triangle  947.24 330.24 
21 medium red triangle  613.47 887.47 
22 medium purple semi-circle  1288.14 897.14 
23 small purple triangle  951.24 786.24 
24 medium red cross  1243.62 753.62 
25 large green semi-circle  552.26 725.26 
26 small purple circle  1488.59 261.59 
27 large red triangle  790.85 889.85 
28 small yellow triangle  52.24 61.24 
29 small yellow square  361.54 645.54 
30 medium yellow semi-circle  508.14 221.14 
31 small purple square  50.54 831.54 
32 medium blue semi-circle  498.14 375.14 
33 large green circle  1073.56 767.56 
34 medium green square  87.07 966.07 
35 medium blue cross  967.62 672.62 
36 medium yellow cross  1247.62 268.62 
37 medium red semi-circle  1150.14 64.14 
38 medium red square  1156.07 880.07 
39 small red semi-circle  855.08 450.08 
40 large green triangle  188.85 144.85 
41 small yellow circle  663.59 1023.59 
42 small purple semi-circle  417.08 295.08 
43 large yellow cross  825.10 1114.10 
44 large purple semi-circle  1380.26 361.26 
45 small purple cross  1240.32 399.32 
46 large yellow circle  393.56 102.56 
47 medium blue triangle  255.47 669.47 
48 small green cross  310.32 553.32 
49 small blue circle  846.59 584.59 
50 large blue square  678.38 177.38 
51 large green square  1445.38 1091.38 
52 large red cross  442.10 549.10 
53 small red triangle  1067.24 156.24 
54 large red semi-circle  1199.26 1071.26 
55 large yellow semi-circle  1382.26 103.26 
56 medium blue circle  462.17 878.17 
57 large purple circle  703.56 363.56 
58 small blue triangle  378.24 386.24 
59 small green square  87.54 516.54 
60 large purple cross  1191.10 532.10 
61 small red circle  1082.59 626.59 
62 small blue semi-circle  188.08 579.08 
63 small yellow cross  1324.32 534.32 
64 large yellow square  1498.38 895.38 
65 small green circle  1242.59 658.59 
66 medium yellow triangle  992.47 1132.47 
67 medium red circle  1532.17 172.17 
68 large blue semi-circle  217.26 845.26 
69 medium purple cross  550.62 90.62 
70 small blue square  1555.54 49.54 
71 medium yellow circle  1547.17 472.17 
72 large blue triangle  489.85 1041.85 
73 medium purple circle  329.17 257.17 
74 small red cross  238.32 280.32 
75 large blue cross  1101.10 297.10 

32
59
01 medium purple semi-circle  909.14 1125.14 
02 small yellow semi-circle  1464.08 48.08 
03 large blue triangle  357.85 468.85 
04 large purple circle  395.56 230.56 
05 small purple square  1503.54 1159.54 
06 large green triangle  1323.85 136.85 
07 large purple square  1444.38 420.38 
08 medium purple cross  405.62 661.62 
09 medium green square  1459.07 753.07 
10 large blue square  117.38 191.38 
11 medium blue circle  928.17 756.17 
12 small blue semi-circle  1389.08 284.08 
13 small yellow cross  1078.32 770.32 
14 large yellow triangle  1301.85 860.85 
15 large red square  552.38 391.38 
16 medium yellow circle  378.17 76.17 
17 large green semi-circle  1165.26 311.26 
18 large purple triangle  914.85 316.85 
19 large green circle  1482.56 591.56 
20 small blue triangle  142.24 332.24 
21 large purple semi-circle  183.26 881.26 
22 large green square  866.38 961.38 
23 large blue cross  987.10 103.10 
24 medium yellow square  1037.07 1081.07 
25 large red triangle  361.85 1014.85 
26 medium red cross  766.62 1122.62 
27 small yellow triangle  66.24 45.24 
28 small purple circle  1294.59 388.59 
29 small red semi-circle  715.08 774.08 
30 small yellow circle  655.59 1040.59 
31 medium green circle  547.17 1093.17 
32 medium green cross  191.62 54.62 
33 large yellow square  1195.38 662.38 
34 medium blue triangle  1357.47 666.47 
35 large red cross  1458.10 995.10 
36 medium green triangle  247.47 283.47 
37 large red circle  148.56 461.56 
38 small blue cross  54.32 627.32 
39 medium purple circle  811.17 811.17 
40 medium purple square  730.07 626.07 
41 small purple triangle  453.24 779.24 
42 small green triangle  1394.24 1158.24 
43 medium green semi-circle  94.14 1119.14 
44 medium red triangle  1142.47 69.47 
45 medium red square  1518.07 283.07 
46 small blue circle  824.59 195.59 
47 large blue semi-circle  576.26 689.26 
48 small yellow square  987.54 500.54 
49 medium yellow triangle  826.47 72.47 
50 small blue square  528.54 539.54 
51 medium yellow semi-circle  1110.14 488.14 
52 small green cross  243.32 159.32 
53 small red triangle  1158.24 795.24 
54 large yellow semi-circle  207.26 673.26 
55 medium purple triangle  691.47 484.47 
56 small red cross  617.32 48.32 
57 medium red semi-circle  547.14 133.14 
58 small green semi-circle  1196.08 979.08 
59 medium blue square  1542.07 146.07 
60 medium red circle  581.17 249.17 
61 large purple cross  1273.10 1094.10 
62 large yellow cross  1009.10 628.10 
63 large yellow circle  841.56 518.56 
64 small red square  54.54 727.54 
65 small green circle  1556.59 881.59 
66 small green square  1118.54 1147.54 
67 large red semi-circle  592.26 902.26 
68 large green cross  1072.10 909.10 
69 medium yellow cross  1312.62 501.62 
70 large blue circle  700.56 140.56 
71 small purple semi-circle  47.08 1000.08 
72 medium blue cross  731.62 350.62 
73 small red circle  732.59 1025.59 
74 medium blue semi-circle  348.14 820.14 
75 small purple cross  233.32 1123.32 

33
65
01 small yellow cross  913.32 765.32 
02 large purple square  1069.38 507.38 
03 medium purple cross  181.62 329.62 
04 small green semi-circle  643.08 76.08 
05 large red semi-circle  1195.26 220.26 
06 medium green circle  81.17 450.17 
07 large yellow semi-circle  109.26 1064.26 
08 medium purple semi-circle  999.14 333.14 
09 large purple triangle  1071.85 993.85 
10 large purple cross  1490.10 1085.10 
11 medium red triangle  760.47 64.47 
12 medium yellow semi-circle  409.14 285.14 
13 small blue triangle  48.24 772.24 
14 large blue cross  93.10 209.10 
15 medium purple triangle  1087.47 76.47 
16 large red triangle  1401.85 312.85 
17 medium red square  92.07 898.07 
18 large yellow triangle  260.85 793.85 
19 medium yellow triangle  1085.47 671.47 
20 small yellow circle  1179.59 900.59 
21 medium yellow circle  612.17 684.17 
22 medium green square  470.07 770.07 
23 small red cross  685.32 314.32 
24 medium blue square  1534.07 526.07 
25 medium green triangle  891.47 884.47 
26 small blue circle  1562.59 232.59 
27 small purple cross  1541.32 629.32 
28 large red cross  96.10 647.10 
29 small green square  150.54 43.54 
30 small green cross  1064.32 1144.32 
31 large green semi-circle  1355.26 550.26 
32 large red square  327.38 472.38 
33 large green square  816.38 412.38 
34 small yellow square  160.54 502.54 
35 small blue semi-circle  1321.08 750.08 
36 small blue square  1288.54 110.54 
37 large yellow circle  278.56 138.56 
38 large blue semi-circle  1336.26 913.26 
39 medium yellow cross  519.62 1083.62 
40 large yellow cross  1483.10 765.10 
41 medium blue circle  758.17 186.17 
42 medium red semi-circle  939.14 654.14 
43 large green circle  603.56 398.56 
44 medium green semi-circle  1185.14 1127.14 
45 medium green cross  482.62 103.62 
46 large green triangle  716.85 1042.85 
47 small purple semi-circle  465.08 395.08 
48 medium blue cross  314.62 1032.62 
49 small red triangle  825.24 1153.24 
50 medium purple square  1344.07 1132.07 
51 medium yellow square  1532.07 933.07 
52 large green cross  920.10 179.10 
53 medium red cross  1379.62 58.62 
54 medium blue semi-circle  899.14 1061.14 
55 small blue cross  63.32 78.32 
56 small green triangle  250.24 1136.24 
57 medium red circle  1214.17 734.17 
58 large purple circle  1497.56 131.56 
59 large yellow square  747.38 578.38 
60 small purple triangle  1222.24 1020.24 
61 large purple semi-circle  449.26 938.26 
62 small green circle  1525.59 425.59 
63 medium blue triangle  369.47 633.47 
64 small yellow semi-circle  220.08 952.08 
65 small red square  1203.54 419.54 
66 small red semi-circle  931.08 510.08 
67 small red circle  1210.59 548.59 
68 large blue triangle  704.85 824.85 
69 large blue square  516.38 559.38 
70 large blue circle  621.56 214.56 
71 medium purple circle  376.17 1125.17 
72 small purple circle  276.59 296.59 
73 small yellow triangle  400.24 172.24 
74 small purple square  228.54 573.54 
75 large red circle  1029.56 814.56 

34
22
01 medium yellow circle  440.17 520.17 
02 large purple triangle  161.85 629.85 
03 medium green semi-circle  1121.14 525.14 
04 medium red cross  1105.62 864.62 
05 small blue cross  1186.32 770.32 
06 large purple semi-circle  105.26 865.26 
07 small red semi-circle  887.08 1117.08 
08 small purple circle  257.59 78.59 
09 medium green square  438.07 365.07 
10 medium yellow cross  67.62 471.62 
11 large red cross  478.10 1100.10 
12 large blue semi-circle  605.26 469.26 
